"10","Australia",1052353891,6101456037,869330554,1987959643,77411224,16820452,721245815,541880026,37278139,4705078784,649980372,1045925543,7561974,122601,523640000,135819364,277347569,193399816,580593776,168408702,383034270,2116046912,515101825,116301397,335779818,57465743992,61259839433,5201292416,163402540,3616421880,303825301,611191915,451760559,189781429,279634006,40779977,35751873,393457876,925017848,192491482,911510219,38468093,1728730,1256862730,2366548,488256,243018468,762988560,267584430,2768041,2055809883,973072166,701274,24676929,23071651,38899122,49308834,5946479,24788046,13164183,98548378,77986046,84305302,39225173,12840291,1664020,642546,49475759,55723484,142446965,14243910770,1732677207,808998790,3214656822,756893888,4458160731,762330767,863989773,12876254,191577381,200513885,102140700,5164125241,2469284177,106292959,2709048886,623587634,226165090,2504771026,74868319,8913269,71621095,220180946,240892178,33186358,69679345,8687031170
"11","Austria",164497907,1215309956,13424085,1236496663,55218221,47838672,164461770,250167874,175451039,356506199,140326642,206013660,6971989,2264974,264253067,388740201,254942095,457362447,878787651,636788190,760971056,2122159720,405129588,94322270,402483770,33646129,4654864564,871662735,1642312996,7754336856,380861365,713867647,394903487,603341977,261927238,23723924,80378723,1558198902,6753304940,900320817,544489240,199845390,9668607,4792388918,11482333,6568364,364244617,5021925727,568982636,10106793,76101405,259513982,10942162,116880888,1096267444,226581913,130166685,142033484,260385217,170427442,965509316,986931453,263057008,758283236,45125745,35210964,46694777,829980239,394750611,1159928528,2146388758,6539616725,5099170060,1770766019,79624163,3567714485,39487607,173008215,8377452,600851136,867067734,1658617107,25615889081,15691760478,2012074764,12179759730,931814090,138455422,3678247411,263392561,49446171,333936924,2651845217,1488710679,228030069,128248399,106684427
"12","Azerbaijan",5579,75170,287819,45888,132860,0,42344525,112484309,33360764,174731,28459,1846822,11686,85943,188255488,7515361,146451888,3156875,3951334,21518198,992664,15142236,8644370,6829992,8126106,1619544,20110198221,6952973,33279824,1314277,18058,639486,396498,282495,15741,0,0,4963975,84509484,154578,11775457,23039,0,1053186,0,0,9150,3081703,983020,1847341,0,15892086,0,5734082,614,1560,261857,85835,117777,0,5150411,317318,13376367,24285,8788,0,0,691097,243516,451946,923108,76989769,35193020,8764819,0,2683928,2032905,273710,0,0,171373,111839,28051371,10534555,425661,2671651,2228206,175797636,6865922,120867,32251,0,4506787,37288,67623,335484,12655551
"13","Bahamas",11980,0,74535650,122181,768987,0,163727,242650,5119,1460,200,702448,0,0,1165,16654,3079,0,19228,1000,79638,1181324,42000,491859,33578148,181834,159707406,351686,81698889,661128,1706,419975,28805890,13441,145235,0,21018,86669,105001685,322840,20,147944,0,626863,15,581,0,131072,2850555,10450,0,1500,0,0,374,59505,236115,300,14308,0,12974,35905,5768081,7437,2552,3180,368,204880,235553,106553,173540,13142411,13956509,881657,0,1211993,0,0,0,548500,8042431,46724,36456955,6718983,14685,5355767,835234,23801239,7589097,56025,49388,6620,447598,344505,30624,576821,11009
"14","Bahrain",697101,2821920,14579139,123468949,479,37816,1895798,2520630,1585543,263604,86226,500449,14556,107668,157165,545324,927184,402864,12125936,8280806,112194204,16757032,289777,5823676,3475021,1188570726,11524501120,20124718,154242,368487,6406915,1082372,25227854,968676,82213,18287,26005,15064123,82805443,9172548,699253,395364,0,11838960,0,35670,1924077,35468179,1248463,4968,0,27858117,6928,987851,139654,535423,823989,38965,177811,0,1988593,94411111,51983977,350412,52420,3997,9351,15353601,1537186,15779202,17088732,122181542,61747214,4163404,37258,1768170408,1436606,117766,3191,1689,1384343,28542689,257544735,31670652,583827,227964216,1747242,20427447,8691208,1537367,70194,16117,46386104,1094689,269878,55013,8493763
"15","Bangladesh",1112,114918,537112333,536063,5254589,41904673,53027087,28688348,12088932,1886531,95723,13005452,35452,54873,7218270,3425790,535273,54039,21945402,16580641,185668,2793583,2943635,73045005,5448528,18621630,360274097,18316870,349706,39818845,27447642,496367,302088,2156951,571860,18670,1319,1509201,58374420,13820494,257216832,44962290,102482,1630077,0,4164112,12754,22238744,1512039,33152,318660,106356773,822689878,25583372,32303969,32627795,8816124,156948181,10668076,20020599,7785527632,7059025061,686249596,252282395,46029900,33686,1269007,191450,28446586,3249032,218040,46819455,17980132,56554397,0,256012,39687,2693097,62672,88322,3666504,245651,48206919,31868036,712744,129724775,13150811,33290694,23441565,360011,14101,118509,17924753,12915534,9767879,170497,119427
"16","Barbados",830008,621988,560322,514696,169620,33781,77515,226197,14508,82860,2427621,37605,21,0,11792122,1191687,9773876,100048,7990169,1105329,1430213,49272387,160228,2464529,16142557,8001,1263677,354612,62503,66935480,217277,4927365,5493411,748949,28645,30029,157869,9666460,6862946,277655,142,930791,0,408332,0,17030,62000,12116485,1489658,0,0,652445,0,4437,23495,28473,22188,6672,6786,879,641734,2371117,1683655,3816381,146598,12091,3193,369687,190496,1968203,9003117,945820,9714435,5225,0,4513841,0,0,5149,440000,274450,358386,4786611,13667135,3373,2928043,1233335,659856,14075869,12483688,93824,31833,3513094,147882,197987,360853,3212956
"17","Belarus",14609600,666479400,17050000,1563548200,2469900,1705700,78583900,26135700,379300,4789200,51140300,11545500,374600,50800,54587400,221111700,373891100,26942700,33691600,27620100,16056700,56841500,12988800,2097900,113247900,2095900,7015971400,33765100,291296300,116043800,2445507500,35918900,69663300,13228800,62454100,13611000,207500,201000500,738344000,497155700,42869600,8897700,27966200,419439900,7500,1894200,1762900,179077200,55271300,35300,16236300,26175900,43443700,191443700,289811800,54006200,29919400,12575700,65854300,25264400,205718400,268883000,37611000,130811100,8189800,436700,54700,129705600,128233200,206159500,0,951836600,729157300,24650400,52000,124620400,3866200,338400,455900,1485500,24786500,56800900,1498126300,723428300,11074800,2326765400,0,477000,244695400,2561000,199500,0,372824900,67867100,3683400,425700,591323900
"18","Belgium",504118947,3801138822,885299381,3574888483,111339303,851807542,2318796744,2927704690,1113935372,548022031,924943267,560060947,97597090,14879258,1569909586,1029720782,1260057497,2637734093,2768431313,3241346326,1468633322,2344855761,1853729344,1136550803,1356353232,1265742501,36295443609,3645860808,30885028623,49050328470,2050485633,3932229388,2416714364,2814172343,757475511,45303452,1542804987,7108417993,29882482033,4906282100,126583103,1124451933,39147562,2509680843,19115901,33555766,1143372361,5266000256,1362530273,9375486,137073069,493441271,240507939,655540118,936275288,500373130,2044920434,320127058,553481736,189261193,3824073847,3426280578,1005661639,3682811581,175820986,38682062,50190435,1217796211,674811087,2639061911,19682049532,17735064260,4984779179,4313589621,336859868,3341970017,323690019,909568931,230234270,224906645,1547546455,546892938,29155405638,16057095282,242853796,36244985575,1219137381,384897994,9980212640,146570227,102673633,376628066,3112230898,1555998347,554535352,82195378,4262711545
"19","Belize",0,0,31213087,1792,706,81960,6091693,54123714,2085,2240920,779625,112508,0,0,3175,118998,32458805,1997,2510,43641825,805731,144979,21184,0,451,0,101964221,0,0,0,0,0,2202563,3581,0,0,0,9706,45,0,11745,19168,0,3943814,0,0,0,1173461,3688,0,0,0,0,0,0,0,0,0,0,0,277,84099,5216,0,12,796,0,200,8483,206,181501,0,40,0,0,0,0,0,0,0,50,40,20155,0,0,1674,10250,4239,0,0,0,0,72970,2562,0,11458,455563
